"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Germany (DE)","19.11.2021 00:00 - 19.11.2021 00:15 (CET)","4412","10705","n/e","2979","4908","273","n/e","n/e","22","77","3800","1064","210","n/e","7413","350","141","0","875","5074","28242"
"Germany (DE)","19.11.2021 00:15 - 19.11.2021 00:30 (CET)","4410","10413","n/e","3166","4562","273","n/e","n/e","22","125","3542","1065","159","n/e","7368","350","141","0","872","5099","28003"
"Germany (DE)","19.11.2021 00:30 - 19.11.2021 00:45 (CET)","4418","10153","n/e","3162","4446","273","n/e","n/e","22","158","3678","1068","155","n/e","7325","350","141","0","871","5104","27660"
"Germany (DE)","19.11.2021 00:45 - 19.11.2021 01:00 (CET)","4409","9856","n/e","3173","4348","273","n/e","n/e","22","50","3469","1066","215","n/e","7317","350","141","0","873","5095","27635"
"Germany (DE)","19.11.2021 01:00 - 19.11.2021 01:15 (CET)","4432","9488","n/e","3190","4244","273","n/e","n/e","22","179","3380","1066","290","n/e","7335","350","141","0","863","5115","27490"
"Germany (DE)","19.11.2021 01:15 - 19.11.2021 01:30 (CET)","4434","9395","n/e","3169","4068","273","n/e","n/e","22","137","3244","1066","63","n/e","7330","350","141","0","866","5143","27210"
"Germany (DE)","19.11.2021 01:30 - 19.11.2021 01:45 (CET)","4417","9435","n/e","3132","4008","273","n/e","n/e","22","56","3146","1062","65","n/e","7336","350","141","0","864","5158","27037"
"Germany (DE)","19.11.2021 01:45 - 19.11.2021 02:00 (CET)","4428","9547","n/e","3102","4083","273","n/e","n/e","22","41","3712","1066","41","n/e","7330","350","141","0","867","5157","26817"
"Germany (DE)","19.11.2021 02:00 - 19.11.2021 02:15 (CET)","4426","9830","n/e","3091","4171","273","n/e","n/e","22","5","4188","1067","40","n/e","7291","350","141","0","862","5162","26698"
"Germany (DE)","19.11.2021 02:15 - 19.11.2021 02:30 (CET)","4418","9804","n/e","3110","4139","273","n/e","n/e","22","1","4321","1068","23","n/e","7286","350","141","0","859","5176","26593"
"Germany (DE)","19.11.2021 02:30 - 19.11.2021 02:45 (CET)","4417","9941","n/e","3129","4090","273","n/e","n/e","22","11","4307","1073","122","n/e","7301","350","141","0","853","4927","26231"
"Germany (DE)","19.11.2021 02:45 - 19.11.2021 03:00 (CET)","4408","10022","n/e","3127","4024","273","n/e","n/e","22","175","4355","1073","56","n/e","7320","350","141","0","855","4826","26266"
"Germany (DE)","19.11.2021 03:00 - 19.11.2021 03:15 (CET)","4409","10247","n/e","3125","4072","273","n/e","n/e","22","60","4291","1071","36","n/e","7329","350","141","0","862","4813","26089"
"Germany (DE)","19.11.2021 03:15 - 19.11.2021 03:30 (CET)","4415","10195","n/e","3134","4215","273","n/e","n/e","22","35","4246","1070","28","n/e","7311","350","141","0","866","4832","26105"
"Germany (DE)","19.11.2021 03:30 - 19.11.2021 03:45 (CET)","4418","10214","n/e","3147","4288","273","n/e","n/e","22","85","4232","1069","24","n/e","7300","350","141","0","866","4848","26297"
"Germany (DE)","19.11.2021 03:45 - 19.11.2021 04:00 (CET)","4419","10235","n/e","3152","4492","273","n/e","n/e","22","20","4284","1067","16","n/e","7223","350","141","0","869","4850","26279"
"Germany (DE)","19.11.2021 04:00 - 19.11.2021 04:15 (CET)","4416","10692","n/e","3159","4829","273","n/e","n/e","22","1","4159","1065","43","n/e","7306","350","140","0","866","4850","26145"
"Germany (DE)","19.11.2021 04:15 - 19.11.2021 04:30 (CET)","4406","10955","n/e","3153","4906","273","n/e","n/e","22","6","4112","1063","60","n/e","7325","350","141","0","861","4847","25853"
"Germany (DE)","19.11.2021 04:30 - 19.11.2021 04:45 (CET)","4398","11134","n/e","3185","4895","273","n/e","n/e","22","2","3801","1061","38","n/e","7326","350","141","0","857","4848","25913"
"Germany (DE)","19.11.2021 04:45 - 19.11.2021 05:00 (CET)","4393","11399","n/e","3173","4971","273","n/e","n/e","22","3","3746","1064","38","n/e","7328","350","141","0","852","4851","25941"
"Germany (DE)","19.11.2021 05:00 - 19.11.2021 05:15 (CET)","4403","11620","n/e","3398","4917","273","n/e","n/e","22","11","3998","1064","111","n/e","7314","350","140","0","834","4822","25804"
"Germany (DE)","19.11.2021 05:15 - 19.11.2021 05:30 (CET)","4392","11802","n/e","3465","4989","273","n/e","n/e","22","3","3893","1063","51","n/e","7328","350","140","0","829","4833","25430"
"Germany (DE)","19.11.2021 05:30 - 19.11.2021 05:45 (CET)","4388","12153","n/e","3660","5162","273","n/e","n/e","22","85","3297","1060","38","n/e","7329","350","140","0","833","4826","25046"
"Germany (DE)","19.11.2021 05:45 - 19.11.2021 06:00 (CET)","4380","12321","n/e","3869","5574","273","n/e","n/e","22","239","3043","1058","106","n/e","7331","350","140","0","836","4810","24875"
"Germany (DE)","19.11.2021 06:00 - 19.11.2021 06:15 (CET)","4395","12216","n/e","4145","5581","273","n/e","n/e","22","236","3003","1054","44","n/e","7258","349","140","0","828","4810","25303"
